Well,Mean,StDev,dilution
D1,0.868799984,0.087800004,1
D2,0.351799995,0.098099999,0.25
D3,0.198200002,0.111500002,0.0625
D4,0.154100001,0.122599997,0.015625
D5,0.140000001,0.116599999,0.00390625
D6,0.137899995,0.116099998,0.000976563
D7,0.136500001,0.109700002,0.000244141
D8,0.141200006,0.119000003,6.10352E-05
D9,0.130099997,0.109999999,1.52588E-05
D10,0.138099998,0.117200002,3.8147E-06
D11,0.143000007,0.120800003,9.53674E-07
D12,0.113399997,0.094599999,0
E1,0.880299985,0.089400001,1
E2,0.353700012,0.100199997,0.25
E3,0.197699994,0.114799999,0.0625
E4,0.159799993,0.123999998,0.015625
E5,0.150199994,0.122900002,0.00390625
E6,0.146799996,0.1206,0.000976563
E7,0.145699993,0.123300001,0.000244141
E8,0.147499993,0.124499999,6.10352E-05
E9,0.132599995,0.111699998,1.52588E-05
E10,0.137700006,0.1171,3.8147E-06
E11,0.136399999,0.112400003,9.53674E-07
E12,0.124399997,0.097199999,0
F1,0.871999979,0.091899998,1
F2,0.356700003,0.1008,0.25
F3,0.199100003,0.114200003,0.0625
F4,0.151299998,0.117600001,0.015625
F5,0.141000003,0.118000001,0.00390625
F6,0.144800007,0.117700003,0.000976563
F7,0.1426,0.124700002,0.000244141
F8,0.142800003,0.121200003,6.10352E-05
F9,0.134399995,0.117200002,1.52588E-05
F10,0.138500005,0.113799997,3.8147E-06
F11,0.139699996,0.118100002,9.53674E-07
F12,0.127599999,0.105400003,0
